173.120.0.149 sjy9-mm-5gdmc-0002-S1-MME-1-s1net
173.120.0.150 sjy9-mm-5gdmc-0002-S1-MME-2-s1net
173.120.0.210 sjy9-mm-5gdmc-0002-S1-MMEb-1-s1net
173.120.0.211 sjy9-mm-5gdmc-0002-S1-MMEb-2-s1net
10.55.238.184 sjy9-mm-5gdmc-0002-S6a-1-signet
10.55.238.185 sjy9-mm-5gdmc-0002-S6a-2-signet
10.55.238.196 sjy9-mm-5gdmc-0002-SLg-1-signet
10.55.238.197 sjy9-mm-5gdmc-0002-SLg-2-signet
10.55.238.198 sjy9-mm-5gdmc-0002-SLs-1-signet
10.55.238.199 sjy9-mm-5gdmc-0002-SLs-2-signet
10.55.239.21 sjy9-mm-5gdmc-0002-SGs-1-signet
10.55.239.22 sjy9-mm-5gdmc-0002-SGs-2-signet
10.55.239.20 sjy9-mm-5gdmc-0002-Sv-GTP-C-signet
10.87.206.112 sjy9-mm-5gdmc-0002-LI-C-limgmt
10.87.206.115 sjy9-mm-5gdmc-0002-LI-I-lidata
173.120.0.208 sjy9-mm-5gdmc-0002-N2-1-s1net
173.120.0.209 sjy9-mm-5gdmc-0002-N2-2-s1net
10.55.238.186 sjy9-mm-5gdmc-0002-SBI-Client-signet
10.55.238.186 sjy9-mm-5gdmc-0002-SBI-Server-signet
10.55.238.184 sjy9-mm-5gdmc-0002-T6a-1-signet
10.55.238.185 sjy9-mm-5gdmc-0002-T6a-2-signet
173.120.1.116 sjy9-mm-5gdmc-0002-S11-GTP-U-s1net
10.31.96.37 sjy9-mm-5gdmc-0001-CTUM-opnet
10.31.96.37 sjy9-mm-5gdmc-0001-OAM-opnet
10.208.255.76 sjy9-mm-5gdmc-0001-S11-GTP-C-signet
10.208.255.77 sjy9-mm-5gdmc-0001-S10-GTP-C-signet
10.208.255.78 sjy9-mm-5gdmc-0001-Gn-GTP-C-signet
10.208.255.79 sjy9-mm-5gdmc-0001-DNS-signet
173.120.0.144 sjy9-mm-5gdmc-0001-S1-MME-1-s1net
173.120.0.145 sjy9-mm-5gdmc-0001-S1-MME-2-s1net
173.120.0.212 sjy9-mm-5gdmc-0001-S1-MMEb-1-s1net
173.120.0.213 sjy9-mm-5gdmc-0001-S1-MMEb-2-s1net
10.55.238.162 sjy9-mm-5gdmc-0001-S6a-1-signet
10.55.238.163 sjy9-mm-5gdmc-0001-S6a-2-signet
10.87.204.112 sjy9-mm-5gdmc-0001-LI-C-limgmt
10.87.204.115 sjy9-mm-5gdmc-0001-LI-I-lidata
10.55.239.16 sjy9-mm-5gdmc-0001-SLg-1-signet
10.55.239.17 sjy9-mm-5gdmc-0001-SLg-2-signet
10.55.239.18 sjy9-mm-5gdmc-0001-SLs-1-signet
10.55.239.19 sjy9-mm-5gdmc-0001-SLs-2-signet
10.55.239.24 sjy9-mm-5gdmc-0001-SGs-1-signet
10.55.239.25 sjy9-mm-5gdmc-0001-SGs-2-signet
10.55.239.23 sjy9-mm-5gdmc-0001-Sv-GTP-C-signet
173.120.0.146 sjy9-mm-5gdmc-0001-N2-1-s1net
173.120.0.147 sjy9-mm-5gdmc-0001-N2-2-s1net
10.55.238.164 sjy9-mm-5gdmc-0001-SBI-Client-signet
10.55.238.164 sjy9-mm-5gdmc-0001-SBI-Server-signet
10.55.238.162 sjy9-mm-5gdmc-0001-T6a-1-signet
10.55.238.163 sjy9-mm-5gdmc-0001-T6a-2-signet
173.120.1.117 sjy9-mm-5gdmc-0001-S11-GTP-U-s1net
10.11.84.160 chy9-mm-5gdmc-1101-CTUM-opnet
10.11.84.160 chy9-mm-5gdmc-1101-OAM-opnet
10.55.62.177 chy9-mm-5gdmc-1101-S11-GTP-C-signet
10.55.62.176 chy9-mm-5gdmc-1101-S10-GTP-C-signet
10.55.62.178 chy9-mm-5gdmc-1101-Gn-GTP-C-signet
10.55.62.179 chy9-mm-5gdmc-1101-DNS-signet
173.105.2.176 chy9-mm-5gdmc-1101-S1-MME-1-s1net
173.105.2.177 chy9-mm-5gdmc-1101-S1-MME-2-s1net
173.105.2.178 chy9-mm-5gdmc-1101-S1-MMEb-1-s1net
173.105.2.179 chy9-mm-5gdmc-1101-S1-MMEb-2-s1net
10.55.62.180 chy9-mm-5gdmc-1101-S6a-1-signet
10.55.62.181 chy9-mm-5gdmc-1101-S6a-2-signet
10.55.62.180 chy9-mm-5gdmc-1101-T6a-1-signet
10.55.62.181 chy9-mm-5gdmc-1101-T6a-2-signet
10.87.207.211 chy9-mm-5gdmc-1101-LI-C-limgmt
10.87.207.213 chy9-mm-5gdmc-1101-LI-I-lidata
10.55.62.182 chy9-mm-5gdmc-1101-SLg-1-signet
10.55.62.183 chy9-mm-5gdmc-1101-SLg-2-signet
10.55.62.184 chy9-mm-5gdmc-1101-SLs-1-signet
10.55.62.185 chy9-mm-5gdmc-1101-SLs-2-signet
10.55.62.186 chy9-mm-5gdmc-1101-SGs-1-signet
10.55.62.187 chy9-mm-5gdmc-1101-SGs-2-signet
10.55.62.188 chy9-mm-5gdmc-1101-Sv-GTP-C-signet
173.105.2.180 chy9-mm-5gdmc-1101-N2-1-s1net
173.105.2.181 chy9-mm-5gdmc-1101-N2-2-s1net
10.55.62.189 chy9-mm-5gdmc-1101-SBI-Client-signet
10.55.62.189 chy9-mm-5gdmc-1101-SBI-Server-signet
10.11.46.248 cjy9-mm-5gdmc-1301-CTUM-opnet
10.11.46.248 cjy9-mm-5gdmc-1301-OAM-opnet
